题号,标题,链接,难度,总提交数,总通过数,通过率,付费,已解决,熟练程度
331,Verify Preorder Serialization of a Binary Tree,verify-preorder-serialization-of-a-binary-tree,中等,102988,37342,36.3%,否,是,熟练
332,Reconstruct Itinerary,reconstruct-itinerary,中等,125514,36641,29.2%,否,是,熟练
333,Largest BST Subtree,largest-bst-subtree,中等,50862,15521,30.5%,是,否,
334,Increasing Triplet Subsequence,increasing-triplet-subsequence,中等,110984,43485,39.2%,否,是,熟练
335,Self Crossing,self-crossing,难,56087,14176,25.3%,否,是,不熟练
336,Palindrome Pairs,palindrome-pairs,难,103332,27027,26.2%,否,是,不熟练
337,House Robber III,house-robber-iii,中等,108605,47135,43.4%,否,是,熟练
338,Counting Bits,counting-bits,中等,138598,84936,61.3%,否,是,熟练
339,Nested List Weight Sum,nested-list-weight-sum,简单,38541,23785,61.7%,是,否,
340,Longest Substring with At Most K Distinct Characters,longest-substring-with-at-most-k-distinct-characters,难,62992,24414,38.8%,是,否,
341,Flatten Nested List Iterator,flatten-nested-list-iterator,中等,98897,41063,41.5%,否,是,不熟练
342,Power of Four,power-of-four,简单,176863,68031,38.5%,否,是,熟练
343,Integer Break,integer-break,中等,99293,45720,46.0%,否,是,不熟练
344,Reverse String,reverse-string,简单,292607,173182,59.2%,否,是,熟练
345,Reverse Vowels of a String,reverse-vowels-of-a-string,简单,215623,82979,38.5%,否,是,熟练
346,Moving Average from Data Stream,moving-average-from-data-stream,简单,43224,25357,58.7%,是,否,
347,Top K Frequent Elements,top-k-frequent-elements,中等,144649,69489,48.0%,否,是,较熟练
348,Design Tic-Tac-Toe,design-tic-tac-toe,中等,31718,14563,45.9%,是,否,
349,Intersection of Two Arrays,intersection-of-two-arrays,简单,205910,97316,47.3%,否,是,熟练
350,Intersection of Two Arrays II,intersection-of-two-arrays-ii,简单,161944,72302,44.6%,否,是,熟练
351,Android Unlock Patterns,android-unlock-patterns,中等,32838,14364,43.7%,是,否,
352,Data Stream as Disjoint Intervals,data-stream-as-disjoint-intervals,难,33918,13625,40.2%,否,是,不熟练
353,Design Snake Game,design-snake-game,中等,33150,8779,26.5%,是,否,
354,Russian Doll Envelopes,russian-doll-envelopes,难,67385,21764,32.3%,否,是,不熟练
355,Design Twitter,design-twitter,中等,76407,19454,25.5%,否,是,较熟练
356,Line Reflection,line-reflection,中等,36576,11023,30.1%,是,否,
357,Count Numbers with Unique Digits,count-numbers-with-unique-digits,中等,80020,36765,45.9%,否,是,熟练
358,Rearrange String k Distance Apart,rearrange-string-k-distance-apart,难,32489,10308,31.7%,是,否,
359,Logger Rate Limiter,logger-rate-limiter,简单,30332,18121,59.7%,是,否,
360,Sort Transformed Array,sort-transformed-array,中等,27181,11947,44.0%,是,否,
361,Bomb Enemy,bomb-enemy,中等,41740,16229,38.9%,是,否,
362,Design Hit Counter,design-hit-counter,中等,30770,16561,53.8%,是,否,
363,Max Sum of Rectangle No Larger Than K,max-sum-of-rectangle-no-larger-than-k,难,43821,14522,33.1%,否,是,不熟练
364,Nested List Weight Sum II,nested-list-weight-sum-ii,中等,28541,14946,52.4%,是,否,
365,Water and Jug Problem,water-and-jug-problem,中等,56819,15607,27.5%,否,是,不熟练
366,Find Leaves of Binary Tree,find-leaves-of-binary-tree,中等,30217,17955,59.4%,是,否,
367,Valid Perfect Square,valid-perfect-square,简单,129906,49605,38.2%,否,是,熟练
368,Largest Divisible Subset,largest-divisible-subset,中等,77808,26247,33.7%,否,是,不熟练
369,Plus One Linked List,plus-one-linked-list,中等,29590,16057,54.3%,是,否,
370,Range Addition,range-addition,中等,22420,12469,55.6%,是,否,
371,Sum of Two Integers,sum-of-two-integers,简单,146715,75165,51.2%,否,是,熟练
372,Super Pow,super-pow,中等,49361,16929,34.3%,否,是,不熟练
373,Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,中等,96196,29478,30.6%,否,是,一般
374,Guess Number Higher or Lower,guess-number-higher-or-lower,简单,149238,52772,35.4%,否,是,熟练
375,Guess Number Higher or Lower II,guess-number-higher-or-lower-ii,中等,63618,22758,35.8%,否,是,不熟练
376,Wiggle Subsequence,wiggle-subsequence,中等,71023,25376,35.7%,否,是,不熟练
377,Combination Sum IV,combination-sum-iv,中等,96793,40558,41.9%,否,是,较熟练
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,中等,90976,40608,44.6%,否,是,一般
379,Design Phone Directory,design-phone-directory,中等,32391,10596,32.7%,是,否,
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,中等,93402,36510,39.1%,否,是,一般
381,Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1-duplicates-allowed,难,57891,16637,28.7%,否,是,不熟练
382,Linked List Random Node,linked-list-random-node,中等,61877,28997,46.9%,否,是,熟练
383,Ransom Note,ransom-note,简单,125345,59077,47.1%,否,是,熟练
384,Shuffle an Array,shuffle-an-array,中等,61113,28441,46.5%,否,是,较熟练
385,Mini Parser,mini-parser,中等,54555,16641,30.5%,否,是,不熟练
386,Lexicographical Numbers,lexicographical-numbers,中等,50495,20779,41.2%,否,是,不熟练
387,First Unique Character in a String,first-unique-character-in-a-string,简单,151182,70433,46.6%,否,是,熟练
388,Longest Absolute File Path,longest-absolute-file-path,中等,88311,32279,36.6%,否,是,不熟练
389,Find the Difference,find-the-difference,简单,153454,77643,50.6%,否,是,熟练
390,Elimination Game,elimination-game,中等,28963,12116,41.8%,否,是,不熟练
391,Perfect Rectangle,perfect-rectangle,难,39302,10314,26.2%,否,是,不熟练
392,Is Subsequence,is-subsequence,中等,82287,36657,44.5%,否,是,较熟练
393,UTF-8 Validation,utf-8-validation,中等,44437,15477,34.8%,否,是,熟练
394,Decode String,decode-string,中等,81908,33807,41.3%,否,是,熟练
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,中等,47706,17065,35.8%,否,是,不熟练
396,Rotate Function,rotate-function,中等,64315,21024,32.7%,否,是,熟练
397,Integer Replacement,integer-replacement,中等,72573,21872,30.1%,否,是,不熟练
398,Random Pick Index,random-pick-index,中等,53236,22746,42.7%,否,是,较熟练
399,Evaluate Division,evaluate-division,中等,42174,17193,40.8%,否,是,不熟练
400,Nth Digit,nth-digit,简单,83509,25136,30.1%,否,是,熟练
401,Binary Watch,binary-watch,简单,76211,34155,44.8%,否,是,熟练
402,Remove K Digits,remove-k-digits,中等,82285,21542,26.2%,否,是,熟练
403,Frog Jump,frog-jump,难,54726,17596,32.2%,否,是,不熟练
404,Sum of Left Leaves,sum-of-left-leaves,简单,126227,59227,46.9%,否,是,较熟练
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,简单,62468,25646,41.1%,否,是,熟练
406,Queue Reconstruction by Height,queue-reconstruction-by-height,中等,49108,27305,55.6%,否,是,熟练
407,Trapping Rain Water II,trapping-rain-water-ii,难,29625,10981,37.1%,否,是,不熟练
408,Valid Word Abbreviation,valid-word-abbreviation,简单,39741,11122,28.0%,是,否,
409,Longest Palindrome,longest-palindrome,简单,100844,45769,45.4%,否,是,熟练
410,Split Array Largest Sum,split-array-largest-sum,难,37540,13882,37.0%,否,是,不熟练
411,Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,难,16319,5373,32.9%,是,否,
412,Fizz Buzz,fizz-buzz,简单,132498,77759,58.7%,否,是,熟练
413,Arithmetic Slices,arithmetic-slices,中等,46442,25393,54.7%,否,是,不熟练
414,Third Maximum Number,third-maximum-number,简单,144644,40300,27.9%,否,是,熟练
415,Add Strings,add-strings,简单,93479,38673,41.4%,否,是,熟练
416,Partition Equal Subset Sum,partition-equal-subset-sum,中等,65408,25567,39.1%,否,是,熟练
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,中等,47852,16110,33.7%,否,是,较熟练
418,Sentence Screen Fitting,sentence-screen-fitting,中等,44648,12396,27.8%,是,否,
419,Battleships in a Board,battleships-in-a-board,中等,45466,28003,61.6%,否,是,熟练
420,Strong Password Checker,strong-password-checker,难,15473,3180,20.6%,否,否,
421,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,中等,32146,14751,45.9%,否,是,不熟练
422,Valid Word Square,valid-word-square,简单,30175,10957,36.3%,是,否,
423,Reconstruct Original Digits from English,reconstruct-original-digits-from-english,中等,25834,11438,44.3%,否,是,熟练
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,中等,31055,13096,42.2%,否,是,不熟练
425,Word Squares,word-squares,难,21135,9004,42.6%,是,否,
432,All O`one Data Structure,all-oone-data-structure,难,23442,6544,27.9%,否,是,不熟练
434,Number of Segments in a String,number-of-segments-in-a-string,简单,70862,26003,36.7%,否,是,熟练
435,Non-overlapping Intervals,non-overlapping-intervals,中等,34075,14032,41.2%,否,是,不熟练
436,Find Right Interval,find-right-interval,中等,32019,13237,41.3%,否,是,不熟练
437,Path Sum III,path-sum-iii,简单,84803,33829,39.9%,否,是,较熟练
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,简单,112312,37810,33.7%,否,是,不熟练
439,Ternary Expression Parser,ternary-expression-parser,中等,14395,7284,50.6%,是,否,
440,K-th Smallest in Lexicographical Order,k-th-smallest-in-lexicographical-order,难,17703,4339,24.5%,否,是,不熟练
441,Arranging Coins,arranging-coins,简单,86851,31445,36.2%,否,是,熟练
442,Find All Duplicates in an Array,find-all-duplicates-in-an-array,中等,63267,35105,55.5%,否,是,较熟练
444,Sequence Reconstruction,sequence-reconstruction,中等,32758,6494,19.8%,是,否,
445,Add Two Numbers II,add-two-numbers-ii,中等,60212,27690,46.0%,否,是,一般
446,Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,难,23090,6210,26.9%,否,是,不熟练
447,Number of Boomerangs,number-of-boomerangs,简单,55906,25205,45.1%,否,是,较熟练
448,Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,简单,106785,54766,51.3%,否,是,熟练
449,Serialize and Deserialize BST,serialize-and-deserialize-bst,中等,37211,15801,42.5%,否,是,熟练
450,Delete Node in a BST,delete-node-in-a-bst,中等,53960,19771,36.6%,否,是,较熟练
451,Sort Characters By Frequency,sort-characters-by-frequency,中等,66313,33725,50.9%,否,是,熟练
452,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,中等,31910,14053,44.0%,否,是,较熟练
453,Minimum Moves to Equal Array Elements,minimum-moves-to-equal-array-elements,简单,61946,29427,47.5%,否,是,熟练
454,4Sum II,4sum-ii,中等,38817,18089,46.6%,否,是,熟练
455,Assign Cookies,assign-cookies,简单,62448,29374,47.0%,否,是,熟练
456,132 Pattern,132-pattern,中等,41330,11899,28.8%,否,是,不熟练
459,Repeated Substring Pattern,repeated-substring-pattern,简单,92414,35153,38.0%,否,是,熟练
460,LFU Cache,lfu-cache,难,53875,12771,23.7%,否,是,一般
461,Hamming Distance,hamming-distance,简单,123521,86471,70.0%,否,是,熟练
462,Minimum Moves to Equal Array Elements II,minimum-moves-to-equal-array-elements-ii,中等,33590,17306,51.5%,否,是,较熟练
463,Island Perimeter,island-perimeter,简单,86564,49365,57.0%,否,是,熟练
464,Can I Win,can-i-win,中等,50186,12496,24.9%,否,是,不熟练
465,Optimal Account Balancing,optimal-account-balancing,难,12298,4498,36.6%,是,否,
466,Count The Repetitions,count-the-repetitions,难,13942,3950,28.3%,否,否,
467,Unique Substrings in Wraparound String,unique-substrings-in-wraparound-string,中等,25845,8379,32.4%,否,是,不熟练
468,Validate IP Address,validate-ip-address,中等,38582,8003,20.7%,否,是,较熟练
469,Convex Polygon,convex-polygon,中等,11104,3598,32.4%,是,否,
471,Encode String with Shortest Length,encode-string-with-shortest-length,难,11659,4901,42.0%,是,否,
472,Concatenated Words,concatenated-words,难,25000,7613,30.5%,否,是,一般
473,Matchsticks to Square,matchsticks-to-square,中等,29645,10462,35.3%,否,是,一般
474,Ones and Zeroes,ones-and-zeroes,中等,33608,13069,38.9%,否,是,不熟练
475,Heaters,heaters,简单,64731,19132,29.6%,否,是,不熟练
476,Number Complement,number-complement,简单,81555,49744,61.0%,否,是,熟练
477,Total Hamming Distance,total-hamming-distance,中等,40567,18970,46.8%,否,是,熟练
479,Largest Palindrome Product,largest-palindrome-product,简单,20307,4467,22.0%,否,否,
480,Sliding Window Median,sliding-window-median,难,24063,7611,31.6%,否,是,不熟练
481,Magical String,magical-string,中等,20859,9472,45.4%,否,否,
482,License Key Formatting,license-key-formatting,中等,42641,17693,41.5%,否,是,熟练
483,Smallest Good Base,smallest-good-base,难,14479,4754,32.8%,否,否,
484,Find Permutation,find-permutation,中等,9320,5061,54.3%,是,否,
485,Max Consecutive Ones,max-consecutive-ones,简单,94681,51200,54.1%,否,是,熟练
486,Predict the Winner,predict-the-winner,中等,32688,14657,44.8%,否,是,不熟练
487,Max Consecutive Ones II,max-consecutive-ones-ii,中等,15586,7048,45.2%,是,否,
488,Zuma Game,zuma-game,难,10627,3963,37.3%,否,否,
490,The Maze,the-maze,中等,14889,6440,43.3%,是,否,
491,Increasing Subsequences,increasing-subsequences,中等,28658,11167,39.0%,否,是,熟练
492,Construct the Rectangle,construct-the-rectangle,简单,47973,23291,48.6%,否,是,熟练
493,Reverse Pairs,reverse-pairs,难,31247,6287,20.1%,否,是,不熟练
494,Target Sum,target-sum,中等,61283,26678,43.5%,否,是,熟练
495,Teemo Attacking,teemo-attacking,中等,30651,15789,51.5%,否,是,不熟练
496,Next Greater Element I,next-greater-element-i,简单,59039,33606,56.9%,否,是,熟练
498,Diagonal Traverse,diagonal-traverse,中等,22152,10164,45.9%,否,是,熟练
499,The Maze III,the-maze-iii,难,9204,2984,32.4%,是,否,
500,Keyboard Row,keyboard-row,简单,63113,37822,59.9%,否,是,熟练
501,Find Mode in Binary Search Tree,find-mode-in-binary-search-tree,简单,52635,19982,38.0%,否,是,不熟练
502,IPO,ipo,难,12362,4483,36.3%,否,是,不熟练
503,Next Greater Element II,next-greater-element-ii,中等,32668,15374,47.1%,否,是,不熟练
504,Base 7,base-7,简单,41585,18437,44.3%,否,是,熟练
505,The Maze II,the-maze-ii,中等,14777,5494,37.2%,是,否,
506,Relative Ranks,relative-ranks,简单,42250,19685,46.6%,否,是,熟练
507,Perfect Number,perfect-number,简单,37114,12528,33.8%,否,是,较熟练
508,Most Frequent Subtree Sum,most-frequent-subtree-sum,中等,34545,18035,52.2%,否,是,一般
513,Find Bottom Left Tree Value,find-bottom-left-tree-value,中等,43966,24598,55.9%,否,是,熟练
514,Freedom Trail,freedom-trail,难,12072,4629,38.3%,否,是,不熟练
515,Find Largest Value in Each Tree Row,find-largest-value-in-each-tree-row,中等,39325,21505,54.7%,否,是,熟练
516,Longest Palindromic Subsequence,longest-palindromic-subsequence,中等,36346,15506,42.7%,否,是,熟练
517,Super Washing Machines,super-washing-machines,难,12825,4741,37.0%,否,是,不熟练
520,Detect Capital,detect-capital,简单,65179,33868,52.0%,否,是,熟练
521,Longest Uncommon Subsequence I ,longest-uncommon-subsequence-i,简单,28850,15975,55.4%,否,是,熟练
522,Longest Uncommon Subsequence II,longest-uncommon-subsequence-ii,中等,19433,6063,31.2%,否,是,较熟练
523,Continuous Subarray Sum,continuous-subarray-sum,中等,72632,16474,22.7%,否,是,不熟练
524,Longest Word in Dictionary through Deleting,longest-word-in-dictionary-through-deleting,中等,25315,10763,42.5%,否,是,不熟练
525,Contiguous Array,contiguous-array,中等,31915,12470,39.1%,否,是,较熟练
526,Beautiful Arrangement,beautiful-arrangement,中等,23445,12968,55.3%,否,是,不熟练
527,Word Abbreviation,word-abbreviation,难,6170,2492,40.4%,是,否,
529,Minesweeper,minesweeper,中等,19100,9476,49.6%,否,是,不熟练
530,Minimum Absolute Difference in BST,minimum-absolute-difference-in-bst,简单,44042,20770,47.2%,否,是,熟练
531,Lonely Pixel I,lonely-pixel-i,中等,11405,6200,54.4%,是,否,
532,K-diff Pairs in an Array,k-diff-pairs-in-an-array,简单,75791,21409,28.2%,否,是,熟练
533,Lonely Pixel II,lonely-pixel-ii,中等,8164,3509,43.0%,是,否,
535,Encode and Decode TinyURL,encode-and-decode-tinyurl,中等,20838,15460,74.2%,否,是,熟练
536,Construct Binary Tree from String,construct-binary-tree-from-string,中等,13620,5495,40.3%,是,否,
537,Complex Number Multiplication,complex-number-multiplication,中等,20828,13342,64.1%,否,是,熟练
538,Convert BST to Greater Tree,convert-bst-to-greater-tree,简单,36512,18225,49.9%,否,是,熟练
539,Minimum Time Difference,minimum-time-difference,中等,22263,10144,45.6%,否,是,熟练
540,Single Element in a Sorted Array,single-element-in-a-sorted-array,中等,26021,14358,55.2%,否,否,
541,Reverse String II,reverse-string-ii,简单,48428,21161,43.7%,否,是,熟练
542,01 Matrix,01-matrix,中等,30244,9974,33.0%,否,是,不熟练
543,Diameter of Binary Tree,diameter-of-binary-tree,简单,55051,23958,43.5%,否,是,熟练
544,Output Contest Matches,output-contest-matches,中等,5383,3879,72.1%,是,否,
545,Boundary of Binary Tree,boundary-of-binary-tree,中等,15154,4752,31.4%,是,否,
546,Remove Boxes,remove-boxes,难,9227,3049,33.0%,否,否,
547,Friend Circles,friend-circles,中等,28803,14222,49.4%,否,是,不熟练
548,Split Array with Equal Sum,split-array-with-equal-sum,中等,6738,2395,35.5%,是,否,
549,Binary Tree Longest Consecutive Sequence II,binary-tree-longest-consecutive-sequence-ii,中等,8489,3431,40.4%,是,否,
551,Student Attendance Record I,student-attendance-record-i,简单,38974,17054,43.8%,否,是,熟练
552,Student Attendance Record II,student-attendance-record-ii,难,12512,3847,30.7%,否,是,不熟练
553,Optimal Division,optimal-division,中等,14007,7735,55.2%,否,是,熟练
554,Brick Wall,brick-wall,中等,23369,10445,44.7%,否,是,熟练
555,Split Concatenated Strings,split-concatenated-strings,中等,4633,1621,35.0%,是,否,
556,Next Greater Element III,next-greater-element-iii,中等,24478,7000,28.6%,否,是,一般
557,Reverse Words in a String III,reverse-words-in-a-string-iii,简单,57390,34168,59.5%,否,是,熟练
560,Subarray Sum Equals K,subarray-sum-equals-k,中等,32190,13096,40.7%,否,否,
561,Array Partition I,array-partition-i,简单,51856,34807,67.1%,否,是,较熟练
562,Longest Line of Consecutive One in Matrix,longest-line-of-consecutive-one-in-matrix,中等,8485,3379,39.8%,是,否,
563,Binary Tree Tilt,binary-tree-tilt,简单,32846,15410,46.9%,否,否,
564,Find the Closest Palindrome,find-the-closest-palindrome,难,15412,2612,16.9%,否,否,
565,Array Nesting,array-nesting,中等,19272,9582,49.7%,否,否,
566,Reshape the Matrix,reshape-the-matrix,简单,41595,24654,59.3%,否,是,熟练
567,Permutation in String,permutation-in-string,中等,26377,9631,36.5%,否,否,
568,Maximum Vacation Days,maximum-vacation-days,难,5755,2367,41.1%,是,否,
572,Subtree of Another Tree,subtree-of-another-tree,简单,44086,17868,40.5%,否,是,熟练
573,Squirrel Simulation,squirrel-simulation,中等,4843,2509,51.8%,是,否,
575,Distribute Candies,distribute-candies,简单,37613,22339,59.4%,否,是,熟练
576,Out of Boundary Paths,out-of-boundary-paths,中等,15434,4810,31.2%,否,否,
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,简单,49380,14590,29.5%,否,否,
582,Kill Process,kill-process,中等,13179,6416,48.7%,是,否,
583,Delete Operation for Two Strings,delete-operation-for-two-strings,中等,17593,7721,43.9%,否,否,
587,Erect the Fence,erect-the-fence,难,6712,2107,31.4%,否,否,
588,Design In-Memory File System,design-in-memory-file-system,难,4738,1577,33.3%,是,否,
591,Tag Validator,tag-validator,难,5487,1519,27.7%,否,否,
592,Fraction Addition and Subtraction,fraction-addition-and-subtraction,中等,9517,4453,46.8%,否,否,
593,Valid Square,valid-square,中等,14532,5787,39.8%,否,否,
594,Longest Harmonious Subsequence,longest-harmonious-subsequence,简单,25740,10476,40.7%,否,是,熟练
598,Range Addition II,range-addition-ii,简单,20089,9711,48.3%,否,是,熟练
599,Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,简单,30137,14150,47.0%,否,是,熟练
600,Non-negative Integers without Consecutive Ones,non-negative-integers-without-consecutive-ones,难,10347,3017,29.2%,否,否,
604,Design Compressed String Iterator,design-compressed-string-iterator,简单,12070,3801,31.5%,是,否,
605,Can Place Flowers,can-place-flowers,简单,44693,13393,30.0%,否,是,熟练
606,Construct String from Binary Tree,construct-string-from-binary-tree,简单,29345,14700,50.1%,否,是,熟练
609,Find Duplicate File in System,find-duplicate-file-in-system,中等,10957,5787,52.8%,否,否,
611,Valid Triangle Number,valid-triangle-number,中等,18472,7513,40.7%,否,否,
616,Add Bold Tag in String,add-bold-tag-in-string,中等,7840,2933,37.4%,是,否,
617,Merge Two Binary Trees,merge-two-binary-trees,简单,41230,28134,68.2%,否,是,较熟练
621,Task Scheduler,task-scheduler,中等,18011,7493,41.6%,否,否,
623,Add One Row to Tree,add-one-row-to-tree,中等,15411,7248,47.0%,否,否,
624,Maximum Distance in Arrays,maximum-distance-in-arrays,简单,21246,7071,33.3%,是,否,
625,Minimum Factorization,minimum-factorization,中等,10770,3233,30.0%,是,否,
628,Maximum Product of Three Numbers,maximum-product-of-three-numbers,简单,32268,14556,45.1%,否,是,熟练
629,K Inverse Pairs Array,k-inverse-pairs-array,难,10468,2662,25.4%,否,否,
630,Course Schedule III,course-schedule-iii,难,10114,2568,25.4%,否,否,
631,Design Excel Sum Formula,design-excel-sum-formula,难,3585,913,25.5%,是,否,
632,Smallest Range,smallest-range,难,7911,3381,42.7%,否,否,
633,Sum of Square Numbers,sum-of-square-numbers,简单,27687,8751,31.6%,否,是,较熟练
634,Find the Derangement of An Array,find-the-derangement-of-an-array,中等,6032,1956,32.4%,是,否,
635,Design Log Storage System,design-log-storage-system,中等,5926,2805,47.3%,是,否,
636,Exclusive Time of Functions,exclusive-time-of-functions,中等,9044,3602,39.8%,否,否,
637,Average of Levels in Binary Tree,average-of-levels-in-binary-tree,简单,24627,13665,55.5%,否,是,熟练
638,Shopping Offers,shopping-offers,中等,9586,3969,41.4%,否,否,
639,Decode Ways II,decode-ways-ii,难,13461,3064,22.8%,否,否,
640,Solve the Equation,solve-the-equation,中等,10547,4111,39.0%,否,否,
642,Design Search Autocomplete System,design-search-autocomplete-system,难,4574,1332,29.1%,是,否,
643,Maximum Average Subarray I,maximum-average-subarray-i,简单,27678,10678,38.6%,否,是,熟练
644,Maximum Average Subarray II,maximum-average-subarray-ii,难,11922,2370,19.9%,是,否,
645,Set Mismatch,set-mismatch,简单,22535,9138,40.6%,否,是,熟练
646,Maximum Length of Pair Chain,maximum-length-of-pair-chain,中等,13344,6316,47.3%,否,否,
647,Palindromic Substrings,palindromic-substrings,中等,14265,8018,56.2%,否,否,
648,Replace Words,replace-words,中等,11453,5573,48.7%,否,否,
649,Dota2 Senate,dota2-senate,中等,6025,2118,35.2%,否,否,
650,2 Keys Keyboard,2-keys-keyboard,中等,12802,5502,43.0%,否,否,
651,4 Keys Keyboard,4-keys-keyboard,中等,5683,2651,46.6%,是,否,
652,Find Duplicate Subtrees,find-duplicate-subtrees,中等,12056,3789,31.4%,否,否,
653,Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,简单,14626,7432,50.8%,否,是,较熟练
654,Maximum Binary Tree,maximum-binary-tree,中等,8347,6140,73.6%,否,否,
655,Print Binary Tree,print-binary-tree,中等,5830,3025,51.9%,否,否,
656,Coin Path,coin-path,难,6607,1623,24.6%,是,否,
657,Judge Route Circle,judge-route-circle,简单,14757,10270,69.6%,否,否,
658,Find K Closest Elements,find-k-closest-elements,中等,11294,4045,35.8%,否,否,
659,Split Array into Consecutive Subsequences,split-array-into-consecutive-subsequences,中等,6336,2161,34.1%,否,否,
660,Remove 9,remove-9,难,5159,2353,45.6%,否,否,
661,Image Smoother,image-smoother,简单,5665,2734,48.3%,否,否,
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,中等,6644,2194,33.0%,否,否,
663,Equal Tree Partition,equal-tree-partition,中等,6257,2366,37.8%,否,否,
664,Strange Printer,strange-printer,难,3453,931,27.0%,否,否,
